epoch,train_loss,val_loss,lr
118.0,5.02254099046695e-06,5.051887455920223e-06,0.0001
119.0,5.0218146770930615e-06,5.0510411711002234e-06,0.0001
120.0,5.025220398238161e-06,5.055553174315719e-06,0.0001
121.0,5.0242441193404375e-06,5.054955636296654e-06,0.0001
122.0,5.0233711135661e-06,5.051846528658643e-06,0.0001
123.0,5.026289163652109e-06,5.056318968854612e-06,0.0001
124.0,5.026930803069263e-06,5.059809609520016e-06,0.0001
125.0,5.025963810112444e-06,5.053830591350561e-06,0.0001
126.0,5.025450791436015e-06,5.06845026393421e-06,0.0001
127.0,5.0303600619372445e-06,5.0752610150084365e-06,0.0001
128.0,5.026115723012481e-06,5.0508406275184825e-06,0.0001
129.0,5.025629052397562e-06,5.060059265815653e-06,0.0001
130.0,5.030826605434413e-06,5.069892722531222e-06,0.0001
131.0,5.031404034525622e-06,5.061091997049516e-06,0.0001
132.0,5.0259892032045175e-06,5.060415787738748e-06,0.0001
133.0,5.030500051361741e-06,5.0478965931688435e-06,0.0001
134.0,5.033619145251578e-06,5.060508101450978e-06,0.0001
135.0,5.0305547483731065e-06,5.052575943409465e-06,0.0001
136.0,5.028601663070731e-06,5.06516698806081e-06,0.0001
137.0,5.03246538755775e-06,5.065888217359316e-06,0.0001
138.0,5.032727158322814e-06,5.0649114200496115e-06,0.0001
139.0,5.031935615988914e-06,5.063709068053868e-06,0.0001
140.0,5.035379854234634e-06,5.051711013948079e-06,0.0001
141.0,5.0342722261120795e-06,5.054162556916708e-06,0.0001
142.0,5.033700081185088e-06,5.074350610811962e-06,0.0001
143.0,5.037920764152659e-06,5.06432070324081e-06,0.0001
144.0,5.0324872790952215e-06,5.074447471997701e-06,0.0001
145.0,5.035394224250922e-06,5.068974587629782e-06,0.0001
146.0,5.0383453162794465e-06,5.076756224298151e-06,0.0001
147.0,5.036436277805478e-06,5.059578143118415e-06,0.0001
148.0,5.034108353356714e-06,5.080743903818075e-06,0.0001
149.0,5.03517276229104e-06,5.073909505881602e-06,0.0001
150.0,5.037108248870936e-06,5.068117388873361e-06,0.0001
151.0,5.036678376200144e-06,5.071633040643064e-06,0.0001
152.0,5.038463423261419e-06,5.072723070043139e-06,0.0001
153.0,5.0336917502136206e-06,5.0658245527301915e-06,0.0001
154.0,5.034624291511136e-06,5.072890417068265e-06,0.0001
155.0,5.038319468440022e-06,5.068986865808256e-06,0.0001
156.0,5.043796109021059e-06,5.066588983027032e-06,0.0001
157.0,5.038976660216576e-06,5.071130999567686e-06,0.0001
158.0,5.038870967837283e-06,5.061552656115964e-06,0.0001
159.0,5.040775549787213e-06,5.0758217184920795e-06,0.0001
160.0,5.034743853684631e-06,5.066032372269547e-06,0.0001
161.0,5.037443906985573e-06,5.069387498224387e-06,0.0001
162.0,5.042555658292258e-06,5.071845407655928e-06,0.0001
163.0,5.038186318415683e-06,5.073392458143644e-06,0.0001
164.0,5.043489763920661e-06,5.074058208265342e-06,0.0001
165.0,5.036626916989917e-06,5.07104596181307e-06,0.0001
166.0,5.035979238527944e-06,5.058483566244831e-06,0.0001
167.0,5.038473254899145e-06,5.054965640738374e-06,0.0001
168.0,5.039692323407507e-06,5.068661721452372e-06,0.0001
169.0,5.034387850173517e-06,5.063395747129107e-06,0.0001
170.0,5.034831319790101e-06,5.057254384155385e-06,0.0001
171.0,5.040798960180837e-06,5.074489763501333e-06,0.0001
172.0,5.042805960329133e-06,5.08486073158565e-06,0.0001
173.0,5.039201696490636e-06,5.072327439847868e-06,0.0001
174.0,5.038831886849948e-06,5.066798166808439e-06,0.0001
175.0,5.037552418798441e-06,5.068406153441174e-06,0.0001
176.0,5.032119051975315e-06,5.067775873612845e-06,0.0001
177.0,5.037568953412119e-06,5.063520802650601e-06,0.0001
178.0,5.044590079705813e-06,5.080829396320041e-06,0.0001
179.0,5.0401084445184095e-06,5.0558714974613395e-06,0.0001
180.0,5.038935505581321e-06,5.0648354772420134e-06,0.0001
181.0,5.046686483183293e-06,5.062486252427334e-06,0.0001
182.0,5.044340296080918e-06,5.079265974927694e-06,0.0001
183.0,5.040819924033713e-06,5.065586719865678e-06,0.0001
184.0,5.036530492361635e-06,5.067679921921808e-06,0.0001
185.0,5.041767162765609e-06,5.089445494377287e-06,0.0001
186.0,5.039847192165325e-06,5.07073309563566e-06,0.0001
187.0,5.040463993282173e-06,5.063899607193889e-06,0.0001
188.0,5.041458553023403e-06,5.064735887572169e-06,0.0001
189.0,5.035118401792716e-06,5.084081749373581e-06,0.0001
190.0,5.0407250455464235e-06,5.076688012195518e-06,0.0001
191.0,5.040788655605866e-06,5.072412477602484e-06,0.0001
192.0,5.038706485720468e-06,5.081975359644275e-06,0.0001
193.0,5.038885547037353e-06,5.073452939541312e-06,0.0001
194.0,5.041625645390013e-06,5.078384674561676e-06,0.0001
195.0,5.04281399116735e-06,5.068687187304022e-06,0.0001
196.0,5.042080647399416e-06,5.080863047624007e-06,0.0001
197.0,5.039564857725054e-06,5.064203378424281e-06,0.0001
198.0,5.039974157625693e-06,5.068299287813716e-06,0.0001
199.0,5.040049181843642e-06,5.069887720310362e-06,0.0001
200.0,5.040438463765895e-06,5.072460680821678e-06,1e-05
